job_name,job_stars,job_category,job_description,company_name,company_type,company_size,company_industry,company_introduction,min_salary,max_salary,mid_salary,place,exp_years,education
策展人,"定期体检,五险一金,员工旅游,交通补贴,专业培训,绩效奖金,弹性工作","市场/营销/拓展主管,培训策划","1、根据馆内发展规划和展览计划，承担具体的工作，包括创意构思、前期提案，及后期结案报告等；,2、推动意向性的方案成为立项计划，形成详细项目执行方案；,3、负责管控会展操作各个流程、筹备、布展、协调沟通、组织实施会展活动；,4、完成方案中的设计及文案，不断提升展览品质；,5、参与市场动态收集整理工作，意向合作机构/艺术家的征集维护。,任职要求：,1、5年以上策展相关经验，艺术类相关专业本科及以上学历；,2、具有独立完成项目方案经验，有极佳的中英文写作，口头技能，良好的沟通和执行能力，对于创新的想法有高度的敏感；,3、对工作充满激情，能够与团队高效工作，承受工作压力。,4、熟悉儿童教育发展动态情况；,5、有较好的协调能力，及团队协作精神，抗压力强；,6、有儿童教育市场经验及资源者优先。",上海致通标识有限公司,民营公司,少于50人,"影视/媒体/艺术/文化传播,教育/培训/院校","公司的发展：上海致通标识有限公司成立于2006年, 我们是为各类区域空间提供导向标识解决方案的专业公司，包括了标识系统设计、品牌视觉设计,从规划布点、概念方案、标识设备的结构深化到制作执行安装落地，我们提供一站式服务。我们的品牌“致通国际”作为设计品牌，注册于香港；    我们的导视系统应用范围面向区域城市CBD,大型商业综合体、产业园区、大型校园、公建展馆、高档写字楼、酒店等不同类型的空间。    公司先后承接了世博会沙特馆、上海北外滩区域、南通城市综合体、茂业购物天地、万科虹桥商务区、昆山城市综合体的导视系统和视觉识别系统的设计，与KPF（美国）、RTKL（美国）, ATKINS（英国）,丹麦设计协会和丹麦建筑协会、DPD（新加坡）等国际建筑设计机构都有过良好的合作。我们长期跟万科、泰康地产、中国SOHO、中国金茂等知名地产公司战略合作。我们成功签约了上海市历史博物馆、上海天文馆、江苏大剧院、呼和浩特城市客厅，等知名大型公建标识导览项目。目前在做2022年的亚运会的相关导视标识规划设计。    我们坚持在空间环境导视这个细分领域里精耕细作，努力在这一领域成为国内的一线领导品牌。       另外，2020年，公司旗下的ArkilA艺术中心即将在夏季开幕，坐落于闵行区丽婴房大厦，占地800平方米，集合多个知名教育文化品牌，与丽婴房合作，致力于儿童艺术交流教育，融合了绘画、合唱和舞蹈等多种艺术教学。ArkilA取“光”之意,而我们的艺术中心，就是以引导和开发美育为主旨，尊重孩子的天性，在互动启发中互相学习成长，艺中玩，玩中悟，在互动中激发孩子感知和学习的潜能。从而照亮孩子一生的机构。ArkilA板块也将会释放更多艺术和设计、包括媒体管理等发展机会！您的发展：    无论您是一位历练职场多年的资深人士还是刚刚踏出校园的莘莘学子：如果我们目前做的事情，也是你喜欢的并且希望去做的，那不要犹豫，致通的这个平台正等着您，请加入我们吧。发挥您的所长，激发您的潜力，尊重您的意愿，圆满您的梦想。       在公司整体人才战略指引下，我们高度重视并积极拓展提升员工个人的综合能力，为员工设计了基于岗位胜任能力及任职资格的个性化职业生涯发展通道。    公司为员工提供良好的职业晋升机制，使员工在个人兴趣与专长的基础上能够更好更快的实现自身与公司的齐步并进并最终实现企业与员工的双赢。为提升员工个人素质和综合能力，满足公司用人需求，加强公司人才梯队建设，公司每季都有评优发季度奖，每年进行一次晋升加薪考核。        我们始终相信，唯有您得到了发展，公司才会获得更大的发展！    致通的壮大需要给力的您，让我们携手共创美好未来！  联系我们：    微信公众号：Asign致通国际    公司地址：闵行区七莘路1855号丽婴房大楼5楼519室 交通：    离地铁12号线七莘路站456米。",10000.0,15000.0,12500.0,上海-闵行区,5-7年经验,本科
策展实习生,,"其他,前台接待/总机/接待生",任职要求,重庆壹艺库文化艺术发展有限公司,民营公司,少于50人,影视/媒体/艺术/文化传播,艺术仓库是将艺术与科技相结合介入当代艺术领域的艺术机构。艺术仓库自2009年创立以来，始终以先锋前卫的姿态，先后将网络技术、App项目、平台性空间结合，致力于中国当代艺术在全球范围内的传播，同时致怀着艺术走进生活的美好希冀。,1500.0,2000.0,1750.0,重庆-渝北区,NA,NA
艺术策展,,"展览/展示/店面设计,活动策划","岗位要求： ,1. 美术学、艺术管理等相关院校专业毕业，本科及以上学历； ,2. 热爱艺术文化，对艺术、时尚敏感度高，愿意接触与展览相关的所有事务；, 3. 有策展案例或相关艺术项目统筹经验，相关工作经验2年以上；, 4. 有一定的文案编缉能力，思维逻辑强，善于分析及整理；, 5. 有一定的江浙沪艺术资源优先； ,6. 曾任文艺行业记者、编缉、公众号运营优先；, 7. 有海外艺术管理留学、美术馆、博物馆、画廊工作经历，英语流利优先；  ,工作内容, 1. 接待展方，洽谈展览，介绍美术馆基本情况与展览流程；, 2. 艺术展览文案及稿件撰写；, 3. 艺术相关行业资料信息整理及分析总结； ,4. 艺术策展统筹，执行及跟进展览，落实展览方案； ,5. 布撤展、开幕现场监督；",上海中闵投资集团有限公司,民营公司,150-500人,物业管理/商业中心,中闵集团创建于2016年，总部位于中国上海闵行区华中路66号中闵大厦。秉承“品质，诚信，服务，创新”的企业理念，以“立足长三角、主攻上海、布局全国，争做最具价值的城市综合体运营商”为发展战略目标，中闵集团迅速发展成为集置业、文化、投资为一体的多元化的综合性集团。中闵集团立足“同一个中闵基因，不同经济周期特征”、“城市综合体”、“产城融合”的现代化城市建设理念，把握市场脉搏，科学经营，矢志成为中国最具价值的城市综合体运营商，为社会创造卓越价值。,6000.0,8000.0,7000.0,上海-闵行区,NA,NA
艺术策展,"五险一金,餐饮补贴,绩效奖金,双薪福利,专业培训,出国机会,员工旅游,全勤奖,生日福利","会务/会展专员,其他","1.根据美术馆展览项目的特点及吴门画派艺术研究院和明书房的工作内容，制定项目的实施计划。,2. 负责撰写展览展会的策展文案。,3.负责展览布置与展场、展品管理、展场空间规划及筹备、施工、撤展等相关环节。,4.与政府主管部门、艺术家及其它艺术机构的沟通交流。,5.规划好美术场馆的常规策展项目和日常接待。,6.负责优秀项目的申报、评比及外展等。",苏州明堂映像美术馆,民营公司,少于50人,"影视/媒体/艺术/文化传播,文字媒体/出版",苏州明堂映像美术馆位于美丽的金鸡湖李公堤，依托吴门画派艺术研究的强大学术研究背景和文化内涵，以活化革新传统文化的方式，旨在传播真、善、美，促进文化艺术对外交流，促进美学传播。近年来，已在西班牙高迪博物馆、挪威贝勒沃格和雅加达东盟总部举办了专业的展览及活动。我们专注于举办有特色的名家画展、艺术研究展、文化艺术公益讲座，阅读活动，以及书画、茶修等传统经典文化研习活动和文化类非遗体验。,4000.0,6000.0,5000.0,苏州-工业园区,2年经验,本科
商业展览策展人 (职位编号：YJ035),"餐饮补贴,绩效奖金,年终奖金,专业培训,五险一金",活动策划,,江苏远见控股集团,民营公司,150-500人,多元化业务集团公司,江苏远见控股集团系统成立于2003年 。十多年来着力贯彻旅游产业政策，突破传统旅游企业单一要素和单一领域发展的模式，以集团平台搭建和产业平台构建，打造旅游产业引擎，建设全新的旅游行业经营主体，稳步推进产业化进程。旗下九家全资公司，业务总体涵盖“旅游规划设计”、“品牌要素直投”、“目的地运营管理”三大版块，既各自独立发展，又具有产业协同效应，现已初步实现了旅游产业链的覆盖性整合投资。是长三角地区具有较高影响力的综合企业企业。在国家文旅融合的大背景下，集团业务转型逐渐形成了知旅事业群/设计生活事业群/风物事业群和文博产业群四大业务群，并逐步打造集线下消费体验场景和深度内容平台相结合的优质文旅企业。我们的目标是紧紧围绕文旅新产业和美学新经济，全面介入文旅目的地的意义赋能开发和新消费产业的文化赋能供给。,6000.0,10000.0,8000.0,苏州-吴中区,3-4年经验,本科
表演艺术助理策展,"五险一金,周末双休,带薪年假,节日福利,员工旅游,餐饮补贴,绩效奖金,定期体检","会务/会展专员,会务/会展主管","协助美术馆策展团队为美术馆年度展览补充和完善行为表演艺术、先锋戏剧、当代编舞、音乐等方便的内容，加深先关艺术类型的资源积累及理论研究     ,负责为美术馆多功能厅规划年度表演、戏剧、编舞、音乐方向内容、拓展及联络艺术家及团体、制定长远运营及发展计划、预算规划，并负责项目把控与实施     ,协助美术馆及驻留中心策展团队，补充行为表演艺术、戏剧、编舞、音乐方面内容，丰富深化驻留方案，寻找及推荐相应的年轻创作者与团体的参与合作     ,拓展适合天目里园区室内外公共空间的艺术形式，给出互动性和灵活性高，对公众友好的行为表演、活动类艺术项目提案，并负责项目推进及落实     ,完成上级布置的其他任务,任职资格：,思路开阔，思维活跃,知识面广，对于事物保有好奇心,优秀的沟通和组织能力,团队协作能力佳，有一定的管理能力""     ,      ,对国内外现当代行为表演艺术、戏剧、编舞的历史与当下现况有深入了解，对国内外各大戏剧节、表演艺术节有较全面的认识,了解以上艺术形式相适配的时间、空间、项目推进方式的特点，能够活用及贯通美术馆个空间及园区内各公共空间，找到与空间及需求相适配的艺术作品,有空间运营和项目落实的经验，包括但不限于运营和预算规划，合作洽谈，执行制作，空间设计对接，设备搭建对接等,英语水平良好，有足够的读写、口语沟通能力     ,      ,有行为表演艺术、编舞、戏剧类相关行业从业三年以上工作经验      ,      ,有一定的海外经验，掌握除英语外第二门外语者优先      ,     ",江南布衣服饰有限公司,上市公司,1000-5000人,"服装/纺织/皮革,批发/零售",江南布衣集团为中国最有影响力的设计师品牌公司，创立于1994，总部位于中国杭州。 其主营业务为品牌服装的创意设计、工艺技术研发及生产销售，并拥有强大的设计师队伍、专业的管理团队、先进的运作机制以及遍布全球的销售网络。 本着立足“更好地设计，更好地生活”的核心价值理念，致力打造为中国***的设计平台，实施以“设计诠释趣味，品质生活”为主导的多品牌组合战略，积极、持续地打造品牌形象，为多维度的零售市场输出深层次、高品质的生活方式。 江南布衣一向坚持优质、追求独特、打破既定、不断创新。 我们不仅关注服装背后的文化，更被生活中的新奇所吸引。 我们独立思考，善于挖掘，通过对日常的感受和发现，为消费者重新定义时尚和穿着的乐趣。 这种乐趣不止于外表的独特，更在于发现生活中的“设计”所带来的愉悦，从艺术、到成衣、到生活，呈现一种独立而纯粹的生活态度。   目前，江南布衣集团的品牌组合包括三个阶段的多个品牌，即成熟品牌JNBY，成长品牌(i) CROQUIS(速写)、(ii) jnby by JNBY及(iii) less，以及包括POMME DE TERRE(蓬马)及JNBYHOME等多个新兴品牌，各个品牌均各自面向特定细分客户并拥有基于本集团统一品牌理念「自然而然地做自己」(Just Naturally Be Yourself)的独特设计形象。 我们广泛的产品及品牌组合创建了一种使我们可以满足客户不同生活阶段及场景需求的生活方式生态圈，使得我们打造了庞大、多元化及忠实的客户群。与此同时，我们不断推出包括“不止盒子”及“江南布衣+”会员集合店等新兴消费场景，提供给消费者更多增值服务。 用设计感受生活，以适度设计为核心，不标榜华丽。以平实的生活态度理解生活，注重平面视觉语言，表现出不同风格的人，具有亲和，且个性鲜明的特质。强调自由，更随意，更轻松，体现个人风格。 我们提供的平台让不同的人一起来参与，阐述生活的态度，容纳不同的文化和特质。弱化年龄概念、传统分类，强调生活方式的认同及类似的趣味，以此构建江南布衣设计师品牌生态圈。优越的办公环境前卫的灰色系设计格调结合绿植及钢化水泥的设计，呈现宛如一座任伊飞扬的秘密花园，让人忍不住驻足停留。和谐的人文气息质于内而形于外，在这里，我们亦师亦友，追逐着各自的梦想，双手却紧紧相握，共同切磋也相互成长。平等相待的晋升空间量才适用，不仅提供给你广阔的升职平台，也提供给你良好的“升值”空间。丰富多样的福利上班时间：08：30-17：30，周末双休常规福利：五险一金、法定节假日、年休假、免费早中餐空间提升：月度公开课、内部培训、轮岗机会员工关怀：免费体检、年度旅游、员工俱乐部、样衣内购会、FATION SHOW、团建活动、运动会,7000.0,10000.0,8500.0,杭州-西湖区,在校生/应届生,大专
美术馆策展人/文案-郴州,"周末双休,带薪年假,五险一金,包吃,专业培训,绩效奖金,节日福利,年终奖金",文案/策划,"1、根据年度工作计划，有序开展艺术及活动策划工作,2. 负责市场推广艺术相关专业文案的编撰,3. 负责艺术衍生品及创意产品的策划工作,4、负责美术馆常规导赏及VIP接待工作,5、负责公众号推文管理,任职要求,1、本科及以上学历，艺术、美术史论或文博、中文、传媒等艺术相关专业；,2、1-3年工作经验，有艺术品、印刷、工艺品、艺术衍生品产品相关经验，有画廊、媒体、展览或相关艺术活动的策划经验。,3、拥有一定的艺术鉴赏力和良好的市场触觉。",广东天泰控股集团有限公司,民营公司,150-500人,"多元化业务集团公司,房地产",广东天泰控股集团有限公司历经二十余年砥砺前行，在“敬业乐群，敢拼善赢”的企业文化感召下，已从一家初创企业，生长为一家根植广州、覆盖全国、放眼全球的多元化集团，在能源矿产、地产开发、股权投资等领域拥有雄厚的优质资源。   全球风云变化，集团率先把握中国消费升级、人口结构转变所带来的伟大机遇，创新构建“2+1”的战略布局和“1+2+3”的商业模式，不断刷新自我成长的标尺，打造多元化产业投资与运营平台。   展望未来，集团将持续加强投资能力的核心竞争力，构建开放共享的合作生态圈，打造产业平台。在追求经济发展的同时，积极地承担社会责任，与社会、合作伙伴、员工共同创造与分享价值，为中国产业与经济发展贡献力量，为中国社会和中华文明的腾飞而奋力前行。   集团市场布局：广东、贵州、云南、湖南、广西、内蒙、北京等   其他相关福利：1、公司实行5天工作制，周末双休；2、公司为员工购买五险一金；3、公司为员工免费提供午晚餐，每天提供下午茶、水果享用；4、公司为员工免费定制司服；5、关爱员工健康，每年免费定期体检；6、提供具有市场竞争力的薪酬保障，完善的员工晋升等级管理制度；7、提供完善的内训及商学院的学习平台，专业的外部技能培训；8、年度团队旅游或团队拓展、各类文体活动等；9、每年依据公司经营状况发放年终奖金。,6000.0,8000.0,7000.0,郴州,1年经验,本科
策划执行（公关&策展） 五险一金+交通话费补贴,"五险一金,交通补贴,通讯补贴,体检补贴,餐饮补贴,绩效奖金","活动策划,活动执行","【岗位职责】,1.日常与客户进行良好的沟通协调及反馈，维护客户关系,2.根据客户需求，熟练撰写传播方案（品牌策略、传播规划、执行案、公关活动方案等）,3.项目前期参与，方案分析、分析项目执行难度，确定项目流程、推广形式及效果预估等工作,4.项目中后期负责对项目工作进行执行与把关，独立解决问题和进行跨部门对接，如媒体计划发布执行把控、活动跟进及现场执行、文案审核、数据整理校对、完成总结报告等,【任职资格】,1.大学本科以上学历，广告学、品牌管理、市场营销相关专业,2.1-5年广告服务经验，4A或本土公司不限,3.优秀的沟通及理解能力，准确把握客户意图并有效传递给创意执行,4.责任心强，抗压力好，工作积极主动，良好的团队协作精神,5.Last but not least，不会轻易的离开",浙江黑石文化传播有限公司,民营公司,少于50人,影视/媒体/艺术/文化传播,浙江黑石文化传播有限公司为联合动力集团旗下整合营销服务机构，业务涵盖品牌策划、数字营销、IP营销、媒介传播、展览展示、公关活动与创意设计。黑石文化以“化零为整”为核心理念，以实现更为出色的团队协作与资源整合为目标，打造整合营销服务品牌，构建文化创意人才平台，为产业注入活力。,6000.0,8000.0,7000.0,宁波-江北区,1年经验,本科
美术馆策展统筹（文化公司）,"五险一金,带薪年假","活动策划,会务/会展经理","工作职责:,1、统筹美术馆多个展览项目的策划与执行，对中国古代史、对近当代艺术、文化潮流有深层次的理解与认知，结合集团规划、展览定位及受众需求，制定具体可实施的展览策划方案；,2、洞悉大文化行业最新动态，分析与评估时下最受关注的展览及项目，根据集团战略制定美术馆年度项目计划，与国内外各大艺术机构、策展人、展览公司、艺术家等建立良好的合作关系，筛选适合美术馆的展览项目，并完成展览项目引进；,3、明确展览意图，综合把控展览项目的展陈及运营推广方向，与展陈部门及运营推广部门共同制定具体可实施的展览陈列方案及宣传推广方案；,4、统筹美术馆各个展览项目的落地执行，规划各项目费用支出，协调各部门及合作方，在确保各项目精度和进度的情况下，管控项目成本；,5、针对完结的展览项目进行复盘，负责美术馆策展理念的系统性总结及输出，并根据展览项目的成本、流量、线上传播率等数据进行分析，辅助后期展览项目的拓展与开发；,6、根据文化公司战略优化团队，不断提升团队效率、精度及凝聚力。,任职资格:,1、热爱艺术，有极强的文化责任感和审美鉴赏能力，熟悉国内外文化行业的发展现状及方向，有丰富的泛艺术圈资源；,2、本科及以上学历，历史类、文化类相关专业；,3、三年以上独立的展览、项目策划与管理经验，两年以上团队管理经验，有极强的艺术理解力，对展览有体系化的成熟认知，对展览、展品与空间的有机融合驾驭能力极强；,4、有极强的全局观及规划能力，敏锐的洞察和数据分析能力；,5、具备广泛的知识维度，有跨学科研究基础和跨领域思考能力；,6、了解文化潮流发展动态，有潮流文化活动经验和资源为佳；,7、追求卓越，注意细节，对自身工作、团队管理、工作结果都有严格标准；,8、抗压能力强，工作主动热情，有极强的应变能力，富有强烈的责任心和团队合作意识。",德基集团有限公司,外资（非欧美）,150-500人,多元化业务集团公司,德基集团有限公司立足高端商业综合体开发运营，开展多元化经营探索，经过多年发展，现已形成包含高端商业综合体运营、房地产开发、高端酒店、文化产业等多核心的业务体，集团的业务主要集中于南京。德基广场是集团重要的高端商业综合体项目，其汇集世界顶尖时尚产品与高级消费品牌，在内地已是家喻户晓的奢华殿堂。整个项目共分为三期，其中一期商业面积为65000平方米，荟萃世界著名品牌，云集***购物及餐饮选择，首开南京***购物中心之先河。二期项目商业面积85000平方米，连接南京***写字楼、超五星级酒店丽思·卡尔顿及德基美术馆，将工作、生活、时尚、艺术融汇贯通。2015-2017连续三年销售排名稳居国内购物中心前列，当之无愧荣膺华东商业中心之冠。三期工程正处规划设计中，三期工程建成后，将与一期、二期工程无缝对接，连为一体，成为内地购物中心行业新的商业“航母”。集团地产公司专注于高端住宅、别墅和商业写字楼等项目开发。旗下南京世界贸易中心项目位于南京市建邺区河西新城，总建筑面积达30万平方米左右，主楼高度达到343米，创下河西超高层建筑高度之最，辅楼定位为配套功能，高度超过120米，整个项目绿地率高达45%，进一步提升城市承载力与竞争力，为南京创造与世界充分交流、东来西往的繁荣美景，开启南京商业地产运营新模式。此外，地产公司还开发了地处紫金山南麓，总建筑面积25.2万平方米的紫金南苑住宅项目；地处紫金山，总建筑面积8100平方米的紫金山庄高档别墅项目；地处南京文化街长江路，总建筑面积近5万平方米的德基大厦商务办公楼项目等。集团始终在探索商业与美学的统一，致力于将时尚与艺术融汇贯通，自2012年开始已将艺术品融入商业地产项目之中。集团开拓文化产业业态探索，于2015年出资设立了德基文化产业南京有限公司，业务涉及文化艺术投资、文化艺术品收藏、展览、拍卖、艺术品衍生等领域，专注提升集团整体无形资产运营水平。2017年，文化公司于德基广场二期八楼设立德基美术馆，建筑面积2200平方米，行大隐之道，于闹市中开辟一艺术佳境。成立以来，成功举办了管竣书法作品展、新星星艺术展、扬州八怪文物展，teamlab未来游乐园，致力于为大众带来艺术新体验，打造市民多彩生活的一个灵动转向。集团文化公司在着力打造美术馆的同时，计划利用三年时间建立德基博物馆，将藏品展示其中。着力打造集美术馆、博物馆、主题画廊、艺术衍生品集合店和艺术公共空间为一体的多维立体文化艺术综合体。智能化时代，德基集团将在瞬息万变的经济环境中不断创新、求变，努力抓住每一个时代发展的机遇，持续又好又快发展，致力成为德行卓著、实力雄厚的企业集团。,15000.0,25000.0,20000.0,南京-玄武区,3-4年经验,本科
策展总监（红点设计）,"五险一金,绩效奖金,定期体检,餐饮补贴,通讯补贴","艺术/设计总监,活动策划","岗位职责,1、承接公司业务发展战略，制定部门业务及发展计划；,2、主导公司展览业务模块，负责博物馆年度展览规划并组织落地；,3、负责博物馆导览的管理工作，包括导览手册制作、导览培训管理等,4、以技术顾问的角色参与公司对外的展览业务洽谈，重大项目需要配合输出项目方案；,5、负责公司承接的制定展览、巡展业务的交付；,6、部门团队的建设及培养。,任职要求：,1、本科以上学历，设计类相关专业，产品设计、工业设计专业优先考虑；,2、累计5年以上工作经验，其中3年以上团队管理经验；,3、有丰富的项目管理经验，具备较强的项目管理能力,4、具备独立开展策展的能力，掌握展览项目预算制定、方案设计以及布展等相关业务知识；,5、对生活充满热情，对团队发展富有责任感。",厦门文广传媒集团有限公司,国企,1000-5000人,"影视/媒体/艺术/文化传播,广告",厦门文广传媒集团有限公司系厦门广播电视集团整合可经营性资产组建的国有文化企业，2014年元月2日注册成立，业务涵盖投资、资产管理、经纪代理以及广告、影视制作、媒体商务等多个领域，旗下拥有厦门广播电视广告有限公司、厦门文广体育有限公司、厦门文广影音有限公司、厦门文广会展有限公司、厦门文广移动传媒有限公司、厦门文广电影控股有限公司、厦门市影视产业服务中心有限公司、厦门广播电视数字工程有限公司、京嘉贺（厦门）信息科技有限公司、海峡国家版权交易中心有限公司、红点设计（厦门）品牌运营有限公司、厦门文广投资管理有限公司等15家企业。在文化体制机制创新的大背景下，厦门文广传媒集团积极谋求跨越发展，纵向深挖整合媒体产业价值链，横向拓展融合旅游、体育、会展等产业，搭建投融资平台，推进股份改制及上市，努力打造成为厦门国有文化领军企业。,13000.0,17000.0,15000.0,厦门,3-4年经验,本科
